1000
35, -6, 59, 92, 40, 23, 19, 17, 43, 70, 68, 15, 42, 86, 25, 48, 72, 6, 96, 16, 32, 46, 81, 20, 11, 0, 41, 98, 3, 95
20, 5, 29, 33, 35, 52, 61, 17, 18, -2, 92, 45, 84, 59, 51, 50, 2, 9, -4, 28, 75, 11, 26, 30, 95, 47, 40, -3, 87, -7
-8, 18, 39, 10, -5, 48, 97, 28, 31, 38, 34, 16, 78, 82, 22, 8, 15, 9, 85, 76, 7, 81, 64, 69, 94, 27, -10, 86, 88, 42
59, 0, 11, 37, -9, 51, 34, 88, 79, 9, 33, 83, 77, 58, 36, 99, 90, 48, 14, 16, 6, 93, 8, -2, 64, 94, 74, -1, 3, 85
-8, 29, 73, 65, 81, 40, 62, 72, 58, 87, 37, 16, 22, 4, 31, 84, 26, 13, 79, 11, -10, 88, 19, 82, 45, 59, 78, -5, -7, 47
98, 83, 62, 71, 10, 61, 7, 70, 79, 99, 33, 88, 24, 82, 85, 57, 69, 66, 28, 94, 9, 0, 40, 96, 35, 92, 5, 34, 6, 13
4, -1, 34, 22, 54, 70, 12, 64, 81, 38, 48, 59, 92, 23, -9, 80, 7, 41, 10, 13, 16, 40, 44, 15, 68, -7, 62, 0, 55, 14
57, 25, 3, 75, 71, -5, 18, 83, 77, 50, -6, 47, 56, 20, 95, 4, 40, 21, 60, 35, -3, 78, 28, 53, 31, 13, 63, 85, 48, 42
73, 6, 62, 98, 19, 13, 80, 27, 97, 82, 71, 41, -9, 50, -8, 34, 11, 16, -2, 92, 48, 10, 72, 35, 5, 23, 25, -3, 36, 67
78, 75, 33, -5, 42, 10, 5, 45, 62, 67, 16, 94, 53, 25, 90, 29, 85, 52, 18, -4, 58, 20, 64, 99, 69, 59, 86, 9, 74, 1
